link,date,venue,city,state,country,show_number
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-4-2024-levitt-pavilion-for-the-performing-arts-westport-ct-usa.html,07/04/2024,Levitt Pavilion for the Performing Arts,Westport,CT,USA,59
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-5-2024-hampton-beach-casino-ballroom-hampton-beach-nh-usa.html,07/05/2024,Hampton Beach Casino Ballroom,Hampton Beach,NH,USA,60
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-6-2024-state-theatre-portland-me-usa.html,07/06/2024,State Theatre,Portland,ME,USA,61
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-7-2024-lincoln-hill-farms-canandaigua-ny-usa.html,07/07/2024,Lincoln Hill Farms,Canandaigua,NY,USA,62
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-17-2024-britt-pavilion-jacksonville-or-usa.html,07/17/2024,Britt Pavilion,Jacksonville,OR,USA,63
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-18-2024-redding-civic-auditorium-redding-ca-usa.html,07/18/2024,Redding Civic Auditorium,Redding,CA,USA,64
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-19-2024-the-meritage-resort-and-spa-napa-ca-usa.html,07/19/2024,The Meritage Resort and Spa,Napa,CA,USA,65
https://allthings.umphreys.com/setlists/umphreys-mcgee-july-20-2024-california-mid-state-fair-paso-robles-ca-usa.html,07/20/2024,California Mid-State Fair,Paso Robles,CA,USA,66
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-22-2024-the-pageant-st-louis-mo-usa.html,08/22/2024,The Pageant,St. Louis,MO,USA,67
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-23-2024-the-salt-shed-chicago-il-usa.html,08/23/2024,The Salt Shed,Chicago,IL,USA,68
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-24-2024-everwise-amphitheater-at-white-river-state-park-indianapolis-in-usa.html,08/24/2024,Everwise Amphitheater at White River State Park,Indianapolis,IN,USA,69
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-25-2024-the-caverns-pelham-tn-usa.html,08/25/2024,The Caverns,Pelham,TN,USA,70
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-28-2024-stone-pony-summerstage-asbury-park-nj-usa.html,08/28/2024,Stone Pony Summerstage,Asbury Park,NJ,USA,71
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-29-2024-pier-six-pavilion-baltimore-md-usa.html,08/29/2024,Pier Six Pavilion,Baltimore,MD,USA,72
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-30-2024-salvage-station-asheville-nc-usa.html,08/30/2024,Salvage Station,Asheville,NC,USA,73
https://allthings.umphreys.com/setlists/umphreys-mcgee-august-31-2024-salvage-station-asheville-nc-usa.html,08/31/2024,Salvage Station,Asheville,NC,USA,74
https://allthings.umphreys.com/setlists/umphreys-mcgee-september-1-2024-17th-street-park-virginia-beach-va-usa.html,09/01/2024,24th Street Park,Virginia Beach,VA,USA,75
https://allthings.umphreys.com/setlists/umphreys-mcgee-september-13-2024-westgate-las-vegas-resort-amp-casino-las-vegas-nv-usa.html,09/13/2024,Westgate Las Vegas Resort & Casino,Las Vegas,NV,USA,76
https://allthings.umphreys.com/setlists/umphreys-mcgee-september-15-2024-the-big-e-arena-west-springfield-ma-usa.html,09/15/2024,The Big E Arena,West Springfield,MA,USA,77
https://allthings.umphreys.com/setlists/umphreys-mcgee-october-26-2024-spirit-of-the-suwannee-music-park-live-oak-fl-usa.html,10/26/2024,Spirit of the Suwannee Music Park,Live Oak,FL,USA,78
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-10-2024-metro-chicago-il-usa.html,12/10/2024,Metro,Chicago,IL,USA,79
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-11-2024-metro-chicago-il-usa.html,12/11/2024,Metro,Chicago,IL,USA,80
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-12-2024-metro-chicago-il-usa.html,12/12/2024,Metro,Chicago,IL,USA,81
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-28-2024-ogden-theatre-denver-co-usa.html,12/28/2024,Ogden Theatre,Denver,CO,USA,82
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-29-2024-ogden-theatre-denver-co-usa.html,12/29/2024,Ogden Theatre,Denver,CO,USA,83
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-29-2024-ogden-theatre-denver-co-usa-2.html,12/29/2024,Ogden Theatre,Denver,CO,USA,84
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-30-2024-boulder-theater-boulder-co-usa.html,12/30/2024,Boulder Theater,Boulder,CO,USA,85
https://allthings.umphreys.com/setlists/umphreys-mcgee-december-31-2024-boulder-theater-boulder-co-usa.html,12/31/2024,Boulder Theater,Boulder,CO,USA,86
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-16-2025-georgia-theatre-athens-ga-usa.html,01/16/2025,Georgia Theatre,Athens,GA,USA,87
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-17-2025-haw-river-ballroom-saxapahaw-nc-usa.html,01/17/2025,Haw River Ballroom,Saxapahaw,NC,USA,88
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-18-2025-hollywood-casino-at-charles-town-races-charles-town-wv-usa.html,01/18/2025,Hollywood Casino at Charles Town Races,Charles Town,WV,USA,89
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-19-2025-jefferson-center-roanoke-va-usa.html,01/19/2025,Jefferson Center,Roanoke,VA,USA,90
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-22-2025-jefferson-theater-charlottesville-va-usa.html,01/22/2025,Jefferson Theater,Charlottesville,VA,USA,91
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-23-2025-the-queen-wilmington-de-usa.html,01/23/2025,The Queen,Wilmington,DE,USA,92
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-24-2025-penn039s-peak-jim-thorpe-pa-usa.html,01/24/2025,Penn's Peak,Jim Thorpe,PA,USA,93
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-25-2025-hard-rock-atlantic-city-atlantic-city-nj-usa.html,01/25/2025,Hard Rock Atlantic City,Atlantic City,NJ,USA,94
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-30-2025-starland-ballroom-sayreville-nj-usa.html,01/30/2025,Starland Ballroom,Sayreville,NJ,USA,95
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-31-2025-the-capitol-theatre-port-chester-ny-usa.html,01/31/2025,The Capitol Theatre,Port Chester,NY,USA,96
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-1-2025-the-capitol-theatre-port-chester-ny-usa.html,02/01/2025,The Capitol Theatre,Port Chester,NY,USA,97
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-2-2025-the-paramount-huntington-ny-usa.html,02/02/2025,The Paramount,Huntington,NY,USA,98
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-26-2025-the-senate-columbia-sc-usa.html,02/26/2025,The Senate,Columbia,SC,USA,99
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-27-2025-iron-city-music-hall-birmingham-al-usa.html,02/27/2025,Iron City Music Hall,Birmingham,AL,USA,100
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-28-2025-the-signal-chattanooga-tn-usa.html,02/28/2025,The Signal,Chattanooga,TN,USA,101
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-1-2025-johnny-mercer-theatre-savannah-ga-usa.html,03/01/2025,Johnny Mercer Theatre,Savannah,GA,USA,102
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-5-2025-the-mill-amp-mine-knoxville-tn-usa.html,03/05/2025,The Mill & Mine,Knoxville,TN,USA,103
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-6-2025-old-forester039s-paristown-hall-louisville-ky-usa.html,03/06/2025,Old Forester's Paristown Hall,Louisville,KY,USA,104
