venueid,venue,city,state,country
303,"Iowa Memorial Union Main Lounge, University of Iowa",Iowa City,IA,USA
304,"Pritchard Gym, SB Sports Complex, SUNY Stony Brook",Stony Brook,NY,USA
305,Memorial Hall,Kansas City,KS,USA
306,"Bailey Hall, Cornell University",Ithaca,NY,USA
307,American Theater,St. Louis,MO,USA
308,Keswick Theatre,Glenside,PA,USA
309,The Macauley Theater,Louisville,KY,USA
310,Michigan Theater,Ann Arbor,MI,USA
311,Newport Music Hall,Columbus,OH,USA
312,"Cotterell Court, Reid Athletic Center, Colgate University",Hamilton,NY,USA
313,"Cheel Arena, Clarkson University",Potsdam,NY,USA
314,"Kuhl Gym, SUNY Geneseo",Geneseo,NY,USA
315,Le Spectrum,"Montr̩al, Qu̩bec",,Canada
316,"Sports Center, University of Hartford",West Hartford,CT,USA
317,Tower Theatre,Upper Darby,PA,USA
318,State Theatre,New Brunswick,NJ,USA
319,Bangor Auditorium,Bangor,ME,USA
320,Metropol,Pittsburgh,PA,USA
321,"Livingston Gymnasium, Denison University",Granville,OH,USA
322,The Vic Theatre,Chicago,IL,USA
323,Hamilton College,Clinton,NY,USA
324,"The Upper, St. Paul's School",Concord,NH,USA
325,The Brewery,Raleigh,NC,USA
326,The Cotton Club,Atlanta,GA,USA
327,The Moore Theatre,Seattle,WA,USA
328,Vogue Theatre,"Vancouver, British Columbia",,Canada
329,Civic Auditorium,Portland,OR,USA
330,Townshend Family Park,Townshend,VT,USA
331,Wendell Recording Studio,Wendell,MA,USA
332,Wesleyan University,Middletown,CT,USA
333,Laguna Seca Raceway,Monterey,CA,USA
334,"Robert Crown Center, Hampshire College",Amherst,MA,USA
335,The Marquee,New York,NY,USA
336,Triad Amphitheater,Salt Lake City,UT,USA
337,"Skidmore Gymnasium, Skidmore College",Saratoga Springs,NY,USA
338,Club Bene,Sayreville,NJ,USA
339,Plattsburgh Air Force Base,Plattsburgh,NY,USA
340,"Armstrong Hall, Colorado College",Colorado Springs,CO,USA
341,"Glenn Miller Ballroom, University of Colorado",Boulder,CO,USA
342,Fort Ram,Fort Collins,CO,USA
343,"The Great Hall, University of Wisconsin",Madison,WI,USA
344,Doolin's,Burlington,VT,USA
345,Private Party,Burlington,VT,USA
346,Finbar's,Burlington,VT,USA
347,Goddard College,Plainfield,VT,USA
348,University of Vermont,Burlington,VT,USA
349,WRUV Radio,Burlington,VT,USA
350,Memorial Auditorium Basement,Burlington,VT,USA
351,The Filene Center at Wolf Trap,Vienna,VA,USA
352,IC Light Amphitheater,Pittsburgh,PA,USA
353,Pier Six Concert Pavilion,Baltimore,MD,USA
354,Waterloo Village,Stanhope,NJ,USA
355,Classic Amphitheater,Richmond,VA,USA
356,Tennessee Theatre,Knoxville,TN,USA
357,The Veranda at Starwood,Antioch,TN,USA
358,Masquerade Music Park,Atlanta,GA,USA
359,Bayfront Park Amphitheater,Miami,FL,USA
360,Cincinnati Zoo Peacock Pavilion,Cincinnati,OH,USA
361,Darien Lake Performing Arts Center,Darien Center,NY,USA
362,Nautica Stage,Cleveland,OH,USA
363,Eastbrook Theatre,Grand Rapids,MI,USA
364,Murat Theatre,Indianapolis,IN,USA
365,World Music Theatre,Tinley Park,IL,USA
366,Civic Center,Des Moines,IA,USA
