showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1252183401,27175,915,2,13,6,0,0,0,,,33,0,,First known Phish performance. With Zenzil̩ Madikinea.,0
1252184007,11438,452,1,1,2,0,0,0,,,22,0,,,0
1252184007,11439,251,1,2,2,0,0,0,,,37,0,,First known Phish performance.,0
1252184007,11440,250,1,3,1,0,0,0,,,9,1,,,0
1252184007,11441,595,1,4,3,0,0,0,,,4,0,,With Zenzil̩ Madikinea. Madikinea recited revolutionary poetry.,0
1252184007,11442,147,1,5,1,0,0,0,,,4,1,,,0
1252184007,11443,296,1,6,1,0,0,0,,,36,1,,First known performance.,0
1252184007,11444,690,1,7,4,0,0,0,,,4,1,,,0
1252184007,11445,257,2,8,2,0,0,0,,,37,0,,First known Phish performance.,0
1252184007,11446,515,2,9,2,0,0,0,,,37,0,,First known Phish performance.,0
1252184007,11447,8,2,10,1,0,0,1,"Debut -> in from ""Slipknot"" and includes a short intro section that continued through 1988.",,36,1,,First known performance.,0
1252184007,11448,365,2,11,2,0,0,1,"Trey speaks the lyrics in a &quot;Dylan-esque&quot; manner, while the jam portion features a soaring Trey guitar solo.",,11,1,,Spoken in Dylan-esque fashion.,0
1252184007,11449,22,2,12,2,0,0,0,,,4,1,,,0
1252184007,11450,335,2,13,2,0,0,0,,,4,1,,,0
1252184007,11451,22,2,14,2,0,0,0,,,0,1,,,0
1252184007,25319,151,2,15,5,0,0,0,,,7,1,,,0
1252184007,25320,413,e,16,6,0,0,0,,,37,0,,First known Phish performance;  with The Joneses.,0
1476840558,356660,8,1,1,2,0,0,0,,,1,1,,,0
1476840558,356662,151,1,2,1,0,0,0,,,1,1,,,0
1476840558,356665,441,1,3,1,0,0,0,,,5,1,,,0
1476840558,356669,452,1,4,3,0,0,0,,,1,0,,,0
1476840558,356674,512,1,5,1,0,0,0,,,5,1,,,0
1476840558,356680,359,1,6,1,0,0,0,,,8,1,,,0
1476840558,356687,251,1,7,1,0,0,0,,,1,0,,,0
1476840558,356695,17,1,8,2,0,0,0,,,38,0,,First known Phish performance; approximately one minute long.,0
1476840558,356704,164,1,9,2,0,0,0,,,10,1,,,0
1476840558,356714,440,1,10,1,0,0,0,,,10,1,,,0
1476840558,356725,690,1,11,1,0,0,0,,,1,1,,,0
1476840558,356737,29,1,12,1,0,0,0,,,12,1,,,0
1476840558,356750,100,1,13,3,0,0,0,,,12,1,,,0
1476840558,356764,22,1,14,2,0,0,0,,,1,1,,,0
1476840558,356779,335,1,15,2,0,0,0,,,1,1,,,0
1476840558,356795,22,1,16,6,0,0,0,,,0,1,,,0
1252184754,11483,246,1,1,2,0,0,1,"Debut, with Richard &quot;Nancy&quot; Wright on vocals. (Does not circulate.)",,39,1,,Debut; Richard Wright on vocals.,0
1252184754,11484,42,1,2,2,0,0,0,,,15,0,,First known Phish performance.,0
1252184754,11485,246,1,3,6,0,0,0,,,0,1,,,0
1252185491,11486,164,1,1,1,0,0,0,,,3,1,,,0
1252185491,11487,246,1,2,2,0,0,0,,,1,1,,Richard Wright on vocals.,0
1252185491,11488,42,1,3,2,0,0,0,,,1,0,,,0
1252185491,11489,246,1,4,6,0,0,0,,,0,1,,,0
1252185870,11490,234,1,1,2,0,0,0,,,46,1,,First known performance.,0
1252185870,11491,512,1,2,1,0,0,0,,,9,1,,,0
1252185870,11492,679,1,3,1,0,0,1,"First recorded live version at Goddard College has a snappier beat, and a goofier vocal delivery than the more bombastic, arena rock version we've come to adore. At the first instrumental break preceding ""Mike Christian"", the band gets almost silent, the small audience claps the beat, spurring a spritely, fusion jam unlike any modern version of Wilson you've heard. 
",,46,1,,First known performance.,0
1252185870,11493,246,1,4,3,0,0,1,Nice little rocking jam at the end of this early version.,,6,1,,,0
1252185870,11494,440,1,5,1,0,0,1,"-> in from ""Halley's."" First version with Mike taking the lead on vocals, without Jeff, and with the familiar Trey-led jam.",,9,1,,,0
1252185870,11495,518,1,6,1,0,0,0,,,19,0,,,0
1252185870,11496,359,1,7,6,0,0,0,,,9,1,,,0
1252186198,92670,22,1,1,2,0,0,0,,,10,1,,,0
1252186198,92671,359,1,2,1,0,0,0,,,1,1,,,0
1252186198,92672,510,1,3,2,0,0,0,,,48,0,,First known Phish performance.,0
1252186198,92673,119,1,4,1,0,0,0,,,23,0,,,0
1252186198,92674,273,1,5,2,0,0,0,,,33,1,,,0
1252186198,92675,365,1,6,1,0,0,1,"Jeff has left the band at this point, and his departure is noticeable as Page plays a prominent role throughout (great recording too). The jam has an upbeat, Grateful Dead-like tone, and includes the whole band despite Page's leading role.",,11,1,,,0
1252186198,92676,8,1,7,1,0,0,0,,,10,1,,,0
1252186198,92677,690,1,8,1,0,0,0,,,10,1,,,0
1252186198,92678,356,1,9,4,0,0,0,,,48,1,,First known performance.,0
1252186198,92679,431,2,10,2,0,0,0,,,47,0,,First known Phish performance.,0
1252186198,92680,234,2,11,2,0,0,0,,,1,1,,,0
1252186198,92681,552,2,12,1,0,0,0,,,48,0,,First known Phish performance.,0
1252186198,92682,100,2,13,1,0,0,0,,,10,1,,,0
1252186198,92683,503,2,14,1,0,0,0,,,48,0,,First known performance.,0
1252186198,92684,396,2,15,1,0,0,0,,,48,0,,First known Phish performance.,0
1252186198,92685,208,2,16,1,0,0,0,,,42,1,,,0
1252186198,92686,518,2,17,1,0,0,0,,,1,0,,,0
1252186198,92687,679,2,18,2,0,0,0,,,1,1,,,0
1252186198,92688,512,2,19,1,0,0,0,,,1,1,,,0
1252186198,92689,452,2,20,3,0,0,0,,,10,0,,,0
1252186198,92690,381,2,21,1,0,0,1,"Very melodic, Grateful Dead-like vibe to the jam. Trey is great, nicely complimented by Page. Fish becomes increasingly prominent as the energy builds. A brief percussive section precedes the closing chords, followed by a short lyrical outro.",,15,1,,,0
1252186198,92691,251,2,22,2,0,0,0,,,10,0,,,0
1252186198,92692,250,2,23,4,0,0,0,,,11,1,,,0
1252186198,92693,474,3,24,1,0,0,0,,,48,1,,First known performance.,0
1252186198,92694,486,3,25,1,0,0,0,,,48,1,,First known performance.,0
1252186198,92695,29,3,26,5,0,0,0,,,10,1,,,0
